region;ind1;ind2;ind3;ind4;ind5;ind6;ind7;ind8;ind9;ind10;ind11;ind12
Белгородская область;1.74411401134698;1018135.85926928;10.2687382474603;15.1309408341416;25.5924170616114;0.186096876141071;0.0464612633938127;1.52;5.8876530895648;3.08725817701259;108.479702638701;2.07683009864154
Брянская область;0.451584989463703;554226.03406326;5.12847700510944;12.094395280236;18.3098591549296;0.0732370975300744;0.00926600747339141;0.34;11.3566153099995;1.94325763656922;61.9286871046229;0.407979126493978
Владимирская область;0.965551135115891;521731.689157748;3.55480040612042;9.86717267552182;21.8137254901961;0.618339862492033;0.0487708732863656;0.96;3.68162832276485;1.81269267216045;6.58686633317822;0.985230285984299
Воронежская область;1.83774711868384;494932.657127332;3.47535338510237;10.4367135455218;18.3299389002037;0.965645343529074;0.0809805821506903;1.56;1.89109445460122;3.78678863392342;3.36735531606593;1.42710951622462
Ивановская область;0.25056574948896;831727.210884354;3.72824443847001;13.7566137566138;22.2222222222222;0.117288715748404;0.0470750627833729;0.62;14.87930591501;2.5100634204862;16.9796515306122;0.184332688216056
Калужская область;0.68039082542028;513177.956787811;2.64380147784515;11.9726339794755;24.8081841432225;1.55350542766509;0.112530679161452;1.84;3.88571006408274;1.82080550122056;3.42954007743225;1.01837713683281
Костромская область;1.71259069645074;1033818.86792453;0.772681256142202;5.18234165067178;11.4649681528662;0.017907099320206;0.00540591677591123;1.33;0.451176838542652;1.7048527951272;34.3601433962264;1.46219699113076
Курская область;0.417176618524196;652560.112557158;4.27984215342485;7.33056708160443;16.6666666666667;0.52927093533698;0.0325791113907743;1.15;10.2590652576964;3.44230901906966;10.2566857896588;0.427116161824869
Липецкая область;3.43534717970681;832562.413793104;3.43127677219664;12.0863309352518;21.2765957446809;0.101158262101057;0.0383703752797113;0.36;0.998815139403017;1.61561276168034;73.8585194827586;5.40962455437732
Московская область;3.50809663669407;925268.496688267;7.09777507836543;10.8108108108108;23.2790331056227;2.08271653048241;0.190338408443217;1.41;2.02325529009776;0.862939588159023;4.97560523899476;2.66412710964992
